"sample" "popnum" "popname"
"1" "NIAP1-1011" 1 "Niapsikau1"
"2" "NIAP1-0342" 1 "Niapsikau1"
"3" "NIAP1-1004" 1 "Niapsikau1"
"4" "NIAP1-1017" 1 "Niapsikau1"
"5" "NIAP1-1014" 1 "Niapsikau1"
"6" "NIAP1-0923" 1 "Niapsikau1"
"7" "NIAP1-0736" 1 "Niapsikau1"
"8" "NIAP1-1129" 1 "Niapsikau1"
"9" "NIAP1-1109" 1 "Niapsikau1"
"10" "NIAP1-0106" 1 "Niapsikau1"
"11" "NIAP1-1069" 1 "Niapsikau1"
"12" "NIAP1-0341" 1 "Niapsikau1"
"13" "NIAP1-1115" 1 "Niapsikau1"
"14" "NIAP2-3054" 2 "Niapsikau2"
"15" "NIAP2-2633" 2 "Niapsikau2"
"16" "NIAP2-1550" 2 "Niapsikau2"
"17" "NIAP2-3890" 2 "Niapsikau2"
"18" "NIAP2-3090" 2 "Niapsikau2"
"19" "NIAP2-3069" 2 "Niapsikau2"
"20" "NIAP2-3065" 2 "Niapsikau2"
"21" "NIAP2-2927" 2 "Niapsikau2"
"22" "NIAP2-2945" 2 "Niapsikau2"
"23" "NIAP2-3052" 2 "Niapsikau2"
"24" "NIAP2-2306" 2 "Niapsikau2"
"25" "NIAP2-3053" 2 "Niapsikau2"
"26" "NIAP2-2931" 2 "Niapsikau2"
"27" "NIAP2-3056" 2 "Niapsikau2"
"28" "NIAP2-3043" 2 "Niapsikau2"
"29" "NIAP2-3068" 2 "Niapsikau2"
"30" "NIAP2-3047" 2 "Niapsikau2"
"31" "NIAP2-3048" 2 "Niapsikau2"
"32" "NIAP2-2928" 2 "Niapsikau2"
"33" "NIAP2-3049" 2 "Niapsikau2"
"34" "NIAP2-3050" 2 "Niapsikau2"
"35" "NIAP2-2942" 2 "Niapsikau2"
"36" "NIAP2-2934" 2 "Niapsikau2"
"37" "NIAP2-2619" 2 "Niapsikau2"
"38" "NIAP2-3045" 2 "Niapsikau2"
"39" "NIAP2-3046" 2 "Niapsikau2"
"40" "NIAP2-3154" 2 "Niapsikau2"
"41" "NIAP2-3067" 2 "Niapsikau2"
"42" "NIAP2-3042" 2 "Niapsikau2"
"43" "NIAP2-2935" 2 "Niapsikau2"
"44" "NIAP2-3070" 2 "Niapsikau2"
"45" "NIAP2-3149" 2 "Niapsikau2"
"46" "FANT4-1375" 3 "Fantome4"
"47" "FANT4-0493" 3 "Fantome4"
"48" "FANT4-1379" 3 "Fantome4"
"49" "FANT4-1430" 3 "Fantome4"
"50" "FANT4-0080-GRIPP-" 3 "Fantome4"
"51" "FANT4-1378" 3 "Fantome4"
"52" "FANT4-1455" 3 "Fantome4"
"53" "FANT4-1398" 3 "Fantome4"
"54" "FANT4-1451" 3 "Fantome4"
"55" "FANT4-1377" 3 "Fantome4"
"56" "FANT4-1450" 3 "Fantome4"
"57" "FANT4-1413" 3 "Fantome4"
"58" "FANT4-1433" 3 "Fantome4"
"59" "FANT4-1449" 3 "Fantome4"
"60" "FANT4-1414" 3 "Fantome4"
"61" "FANT5-0250" 4 "Fantome5"
"62" "FANT5-1425" 4 "Fantome5"
"63" "FANT5-2072" 4 "Fantome5"
"64" "FANT5-2624" 4 "Fantome5"
"65" "FANT5-0243" 4 "Fantome5"
"66" "FANT5-1914" 4 "Fantome5"
"67" "FANT5-1922" 4 "Fantome5"
"68" "FANT5-2581" 4 "Fantome5"
"69" "FANT5-1522" 4 "Fantome5"
"70" "FANT5-2047" 4 "Fantome5"
"71" "FANT5-0279" 4 "Fantome5"
"72" "FANT5-0644" 4 "Fantome5"
"73" "FANT5-0266" 4 "Fantome5"
"74" "FANT5-2839" 4 "Fantome5"
"75" "FANT5-0271" 4 "Fantome5"
"76" "FANT5-3091" 4 "Fantome5"
"77" "FANT5-1666" 4 "Fantome5"
"78" "FANT5-1935" 4 "Fantome5"
"79" "FANT5-0625" 4 "Fantome5"
"80" "FANT5-0653" 4 "Fantome5"
"81" "FANT5-2609" 4 "Fantome5"
"82" "FANT5-2258" 4 "Fantome5"
"83" "FANT5-2616" 4 "Fantome5"
"84" "FANT5-1545" 4 "Fantome5"
"85" "FANT5-1240" 4 "Fantome5"
"86" "FANT5-2058" 4 "Fantome5"
"87" "FANT5-2897" 4 "Fantome5"
"88" "FANT5-1578" 4 "Fantome5"
"89" "FANT5-1674" 4 "Fantome5"
"90" "HAV6-1479" 5 "Havre6"
"91" "HAV6-2291" 5 "Havre6"
"92" "HAV6-1490" 5 "Havre6"
"93" "HAV6-2500" 5 "Havre6"
"94" "HAV6-2608" 5 "Havre6"
"95" "HAV6-1489" 5 "Havre6"
"96" "HAV6-1494" 5 "Havre6"
"97" "HAV6-1488" 5 "Havre6"
"98" "HAV6-2625" 5 "Havre6"
"99" "HAV6-1480" 5 "Havre6"
"100" "HAV6-1003" 5 "Havre6"
"101" "HAV6-1000" 5 "Havre6"
"102" "HAV6-2292" 5 "Havre6"
"103" "HAV6-1316" 5 "Havre6"
"104" "HAV6-3941" 5 "Havre6"
"105" "HAV6-1652" 5 "Havre6"
"106" "HAV6-1493" 5 "Havre6"
"107" "HAV6-2290" 5 "Havre6"
"108" "HAV7-1435" 6 "Havre7"
"109" "HAV7-1483" 6 "Havre7"
"110" "HAV7-1395" 6 "Havre7"
"111" "HAV7-1386" 6 "Havre7"
"112" "HAV7-1392" 6 "Havre7"
"113" "HAV7-1381" 6 "Havre7"
"114" "HAV7-2810" 6 "Havre7"
"115" "HAV7-1440" 6 "Havre7"
"116" "HAV7-1452" 6 "Havre7"
"117" "HAV7-1394" 6 "Havre7"
"118" "HAV7-1441" 6 "Havre7"
"119" "HAV7-3990" 6 "Havre7"
"120" "HAV7-1458" 6 "Havre7"
"121" "HAV7-1382" 6 "Havre7"
"122" "HAV7-0735" 6 "Havre7"
"123" "HAV7-1497" 6 "Havre7"
"124" "HAV7-1439" 6 "Havre7"
"125" "HAV7-3986" 6 "Havre7"
"126" "MARG11-2585" 7 "Marteau11"
"127" "MARG11-1516" 7 "Marteau11"
"128" "MARG11-3005" 7 "Marteau11"
"129" "MARG11-3801" 7 "Marteau11"
"130" "MARG11-3808" 7 "Marteau11"
"131" "MARG11-1588" 7 "Marteau11"
"132" "MARG11-0593" 7 "Marteau11"
"133" "MARG11-2008" 7 "Marteau11"
"134" "MARG11-2225" 7 "Marteau11"
"135" "MARG11-2829" 7 "Marteau11"
"136" "MARG11-1605" 7 "Marteau11"
"137" "MARG11-3136" 7 "Marteau11"
"138" "MARG11-3150" 7 "Marteau11"
"139" "MARG11-1503" 7 "Marteau11"
"140" "MARG11-2765" 7 "Marteau11"
"141" "MARG11-3809" 7 "Marteau11"
"142" "MARG11-3146" 7 "Marteau11"
"143" "MARG11-0596" 7 "Marteau11"
"144" "MARG11-1821" 7 "Marteau11"
"145" "MARG11-0563" 7 "Marteau11"
"146" "MARG11-3802" 7 "Marteau11"
"147" "MARG11-3125" 7 "Marteau11"
"148" "MARG11-3051" 7 "Marteau11"
"149" "MARG11-0568" 7 "Marteau11"
"150" "MARG11-2126" 7 "Marteau11"
"151" "MARG11-3152" 7 "Marteau11"
"152" "MARG11-1940" 7 "Marteau11"
"153" "MARG11-1434" 7 "Marteau11"
"154" "BF4-1348" 3 "Fantome4"
"155" "M11-B587" 7 "Marteau11"
"156" "GRIPP-699" 3 "Fantome4"
"157" "GRIPP-3805" 3 "Fantome4"
"158" "GRIPP-1363" 3 "Fantome4"
"159" "F4-B1348" 3 "Fantome4"
"160" "F5-B2925" 4 "Fantome5"
"161" "F4-B1363" 3 "Fantome4"
"162" "-N2-B2081" 2 "Niapsikau2"
"163" "-N2-B2153" 2 "Niapsikau2"
